FIPS,LISA_CL,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
4019,1,0.373033708,0.348314607,0.397727273,0.088125213,0.092252099,0.400355872,0.521341463,0.657794677,0.252873563,0.162790698,0.860718172,0.81059752,0.325657895,0.045307443,0.034690799,0.125874126,0.050938338,0.117794486,0.482673267,0.097847635,0.113532902,0.774907749,0.102688972,0.277889289,0.244005874,0.182689694,0.373863584,0.4410437,0.4652227,0.253155171,0.64361516,0.160180227,0.263819973
12115,1,0.741573034,0.714606742,0.761363636,0.069411364,0.03364413,0.370106762,0.521341463,0.730038023,0.275862069,0.145348837,0.895538629,0.879368658,0.233552632,0.012944984,0.013574661,0.076923077,0.032171582,0.160401003,0.452970297,0.043893216,0.05413423,0.878228782,0.048677364,0.272829819,0.284731275,0.207480836,0.362135312,0.4142697,0.448703611,0.353045426,0.680233236,0.117017109,0.372056049
48439,1,0.283146067,0.271910112,0.286363636,0.085062947,0.203425114,0.409252669,0.347560976,0.673003802,0.25862069,0.253875969,0.928182807,0.880496054,0.328947368,0.009708738,0.018099548,0.013986014,0.032171582,0.105263158,0.544554455,0.189922761,0.215295669,0.73800738,0.204252646,0.394837682,0.317073976,0.270636632,0.4723964,0.573258,0.597283072,0.639376233,0.755393586,0.291367376,0.486546929
48181,1,0.420224719,0.395505618,0.434090909,0.083701939,0.011836681,0.320284698,0.414634146,0.66539924,0.32183908,0.269379845,0.911860718,0.836527621,0.407894737,0.006472492,0.030165913,0.013986014,0.032171582,0.127819549,0.49009901,0.013241203,0.015519063,0.791512915,0.009495391,0.289385067,0.300671606,0.251698954,0.390528462,0.4730524,0.504837733,0.142394222,0.566763848,0.11656001,0.139265497
47077,1,0.424719101,0.42247191,0.420454545,0.074515141,0.002404101,0.247330961,0.289634146,0.551330798,0.362068966,0.457364341,0.952121872,0.92897407,0.259868421,0.003236246,0.015082956,0,0.010723861,0.090225564,0.524752475,0.00295334,0.003307384,0.719557196,0.001599181,0.24997097,0.258065048,0.170257879,0.366565993,0.4725316,0.414690703,0.17597028,0.432419825,0.17630926,0.184621567
48225,1,0.516853933,0.492134831,0.565909091,0.152092548,0.001712143,0.174377224,0.548780488,0.604562738,0.379310345,0.335271318,0.930359086,0.899661781,0.279605263,0.001618123,0.018099548,0,0.032171582,0.115288221,0.514851485,0.002604814,0.002963379,0.743542435,0.001171731,0.172021963,0.154815927,0.164060093,0.269458966,0.3979382,0.323743369,0.17597028,0.591603499,0.168734491,0.21474247
12125,1,0.408988764,0.447191011,0.340909091,0.38856754,0.000838103,0.161921708,0.725609756,0.562737643,0.293103448,0.315891473,0.92383025,0.852311161,0.398026316,0.01618123,0.033182504,0.013986014,0.042895442,0.070175439,0.443069307,0.001759698,0.001754115,0.54797048,0.00045886,0.251911816,0.281909539,0.213569888,0.37052141,0.3614294,0.425269076,0.356115321,0.622623907,0.184863524,0.336606332
28065,1,0.485393258,0.420224719,0.529545455,0.078598163,0.000853567,0.144128114,0.545731707,0.494296578,0.33045977,0.46124031,0.971708379,0.898534386,0.407894737,0.012944984,0.003016591,0,0.034852547,0.025062657,0.685643564,0.001288513,0.001368157,0.638376384,0.000693752,0.123915532,0.129964852,0.097714793,0.297714137,0.3739551,0.297220484,0.160694953,0.557725948,0.079665665,0.165263121
22071,1,0.314606742,0.31011236,0.315909091,0.070091868,0.037404703,0.512455516,0.539634146,0.479087452,0.192528736,0.162790698,0.774755169,0.73167982,0.302631579,0.124595469,0.070889894,0.216783217,0.042895442,0.107769424,0.465346535,0.03943026,0.044258225,0.723247232,0.042243769,0.285304315,0.218032706,0.13069716,0.330078035,0.4279305,0.48276782,0.336702309,0.674227405,0.133733838,0.343437697
16087,1,0.519101124,0.514606742,0.511363636,0.093228989,0.00079084,0.213523132,0.542682927,0.384030418,0.543103448,0.298449612,0.835690968,0.759864713,0.401315789,0.001618123,0.066365008,0.006993007,0.069705094,0.215538847,0.428217822,0.00104399,0.00120402,0.763837638,0.000604985,0.167244497,0.216465075,0.108569979,0.318027811,0.324974,0.42607964,0.183963873,0.623790087,0.093639807,0.231864561
