FIPS,LISA_CL,Percent,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
49047,0,0,0.186516854,0.193258427,0.175,0.113644097,0.003316039,0.261565836,0.222560976,0.631178707,0.543103448,0.323643411,0.926006529,0.855693348,0.394736842,0.012944984,0.028657617,0.048951049,0.013404826,0.09273183,0.349009901,0.002745336,0.003226627,0.795202952,0.001581427,0.405271801,0.402320094,0.462151828,0.46811903,0.4317229,0.578835045,0.22359074,0.599358601,0.102194071,0.265077923
49049,0,1.881467545,0.065168539,0.074157303,0.05,0.10479755,0.053565412,0.483985765,0.320121951,0.714828897,0.215517241,0.195736434,0.846572361,0.772266065,0.398026316,0.029126214,0.061840121,0.083916084,0.034852547,0.157894737,0.405940594,0.033053189,0.040961328,0.885608856,0.04171253,0.358824212,0.314235739,0.26030699,0.373173686,0.4564004,0.615330946,0.251835264,0.618483965,0.09768839,0.272643092
49051,0,0.996432526,0.262921348,0.24494382,0.261363636,0.110241579,0.002808778,0.444839858,0.451219512,0.627376426,0.307471264,0.139534884,0.899891186,0.833145434,0.381578947,0,0.028657617,0.020979021,0.034852547,0.162907268,0.47029703,0.002457941,0.003067734,0.896678967,0.003057699,0.422639882,0.373640699,0.252278864,0.511674613,0.5456961,0.580517735,0.194152368,0.601632653,0.177310286,0.245894192
49053,0,0,0.312359551,0.298876404,0.320454545,0.090166723,0.012811563,0.323843416,0.451219512,0.794676806,0.267241379,0.213178295,0.89445049,0.821871477,0.398026316,0.009708738,0.034690799,0.041958042,0.034852547,0.140350877,0.334158416,0.012093608,0.014991518,0.885608856,0.011180608,0.246868935,0.30083662,0.196607528,0.311374124,0.3498918,0.467079815,0.239993178,0.641341108,0.140329111,0.293801104
49055,1,0,0.417977528,0.395505618,0.413636364,0.1143246,0.000257878,0.339857651,0.37195122,0.718631179,0.422413793,0.180232558,0.842219804,0.793686584,0.322368421,0,0.111613876,0,0.008042895,0.185463659,0.25990099,0.000269135,0.000341908,0.915129151,0.000312735,0.271817925,0.144931602,0.240898135,0.314317691,0.5125925,0.534715738,0.289400703,0.641457726,0.123351182,0.296386889
49057,0,0,0.238202247,0.235955056,0.234090909,0.102075536,0.024245745,0.334519573,0.289634146,0.69581749,0.301724138,0.333333333,0.90968444,0.848928974,0.365131579,0.029126214,0.021116139,0.041958042,0.029490617,0.102756892,0.425742574,0.020614628,0.024658289,0.824723247,0.016707409,0.332249556,0.331430174,0.28549682,0.391555644,0.4679379,0.547223049,0.204518827,0.649970845,0.038657438,0.260849815
50001,0,1.639344262,0.483146067,0.485393258,0.486363636,0.093569241,0.004190515,0.46975089,0.37195122,0.403041825,0.364942529,0.236434109,0.808487486,0.756482525,0.328947368,0.009708738,0.113122172,0.041958042,0.010723861,0.228070175,0.472772277,0.004436361,0.005490982,0.881918819,0.005398429,0.346250187,0.309169816,0.271144053,0.436337713,0.4241647,0.429701528,0.713142713,0.685714286,0.177228464,0.575686631
50003,0,2.580239144,0.557303371,0.539325843,0.577272727,0.084042191,0.003759702,0.400355872,0.426829268,0.551330798,0.270114943,0.269379845,0.846572361,0.806087937,0.299342105,0.006472492,0.078431373,0.034965035,0.040214477,0.177944862,0.349009901,0.004417704,0.005382431,0.856088561,0.004708774,0.273991009,0.283147143,0.232199489,0.374982753,0.3106188,0.427280096,0.141370923,0.629212828,0.130338253,0.190299811
50005,0,2.232854864,0.496629213,0.485393258,0.515909091,0.096971759,0.003112612,0.386120996,0.432926829,0.517110266,0.356321839,0.238372093,0.859630033,0.80270575,0.348684211,0.004854369,0.061840121,0,0.029490617,0.203007519,0.504950495,0.003665079,0.004543393,0.885608856,0.00362308,0.281124032,0.347122985,0.257262464,0.366443344,0.3366317,0.411704955,0.298336028,0.751895044,0.189369205,0.306328185
50007,0,0,0.334831461,0.312359551,0.356818182,0.084722695,0.019162895,0.613879004,0.341463415,0.52851711,0.181034483,0.160852713,0.80304679,0.775648253,0.256578947,0.040453074,0.116138763,0.13986014,0.021447721,0.145363409,0.393564356,0.017011077,0.021239207,0.898523985,0.027022192,0.439991374,0.297140311,0.301734293,0.463320404,0.4777662,0.516513959,0.221232704,0.558483965,0.111009534,0.295146411
