FIPS,LISA_CL,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
4017,1,0.321348315,0.305617978,0.338636364,0.101054781,0.006880373,0.28113879,0.62195122,0.55513308,0.32183908,0.234496124,0.844396083,0.767756483,0.404605263,0.017799353,0.073906486,0.020979021,0.056300268,0.167919799,0.420792079,0.010618129,0.011729756,0.697416974,0.005219529,0.20332432,0.249022293,0.130099128,0.309503733,0.4211201,0.413131137,0.241757997,0.681399417,0.125048975,0.257617583
4023,1,0.334831461,0.280898876,0.381818182,0.071112623,0.003742496,0.254448399,0.442073171,0.851711027,0.301724138,0.242248062,0.906420022,0.874859076,0.279605263,0.004854369,0.02413273,0.006993007,0.045576408,0.140350877,0.440594059,0.004529645,0.004456342,0.529520295,0.003452373,0.212315246,0.186300556,0.161559232,0.344642556,0.4527949,0.378841201,0.224992214,0.748921283,0.14751208,0.281658397
5003,1,0.449438202,0.415730337,0.465909091,0.079618918,0.00170256,0.259786477,0.399390244,0.422053232,0.327586207,0.465116279,0.916213275,0.903043968,0.230263158,0.003236246,0.039215686,0.027972028,0.064343164,0.065162907,0.356435644,0.002261845,0.002549103,0.728782288,0.001152612,0.260222617,0.290721275,0.248690673,0.355711592,0.3512272,0.547541118,0.177557134,0.612827988,0.135562231,0.222989028
5031,1,0.278651685,0.260674157,0.290909091,0.082000681,0.010054187,0.357651246,0.344512195,0.608365019,0.290229885,0.323643411,0.931447225,0.879368658,0.342105263,0.004854369,0.031674208,0.006993007,0.026809651,0.087719298,0.326732673,0.009352242,0.010956268,0.791512915,0.007965859,0.260521208,0.287932542,0.190627209,0.305241694,0.4190904,0.482747299,0.223012354,0.613760933,0.215097297,0.258229087
5137,1,0.620224719,0.586516854,0.65,0.108880572,0.00091869,0.346975089,0.429878049,0.19391635,0.66954023,0.236434109,0.856365615,0.782412627,0.398026316,0,0.040723982,0,0.131367292,0.160401003,0.48019802,0.001420302,0.001457305,0.588560886,0.000874018,0.112270458,0.225260309,0.107609503,0.211660815,0.3386748,0.493438536,0.255186937,0.808396501,0.095402899,0.330019568
6027,1,0.537078652,0.521348315,0.581818182,0.104457298,0.001752872,0.284697509,0.570121951,0.673003802,0.341954023,0.19379845,0.795429815,0.726042841,0.378289474,0.017799353,0.125188537,0.391608392,0.013404826,0.097744361,0.287128713,0.002084407,0.002410662,0.769372694,0.001630591,0.344242987,0.260936288,0.21433102,0.434773943,0.6008733,0.472722982,0.187797535,0.669504373,0.239258195,0.217433084
6029,1,0.217977528,0.215730337,0.213636364,0.117386866,0.070492131,0.231316726,0.411585366,0.494296578,0.600574713,0.265503876,0.920565832,0.835400225,0.4375,0.014563107,0.019607843,0.034965035,0.061662198,0.07518797,0.46039604,0.076412502,0.072789199,0.485239852,0.043254353,0.264170662,0.248477748,0.239249017,0.441182332,0.6529258,0.642664396,0.117649676,0.600291545,0.19531148,0.176899154
6035,1,0.334831461,0.301123596,0.495454545,0.429397754,0.001899453,0.263345196,0.713414634,0.490494297,0.318965517,0.23255814,0.882480958,0.83427283,0.325657895,0.014563107,0.058823529,0.034965035,0.010723861,0.147869674,0.405940594,0.003243116,0.00383021,0.804428044,0.001727552,0.390275866,0.31784954,0.38419021,0.480889816,0.4847769,0.554866975,0.106030046,0.486005831,0.163641113,0.121165001
6043,1,0.653932584,0.660674157,0.65,0.103436543,0.001508716,0.270462633,0.835365854,0.558935361,0.252873563,0.156976744,0.769314472,0.702367531,0.368421053,0.030744337,0.126696833,0.174825175,0.013404826,0.215538847,0.685643564,0.002276533,0.002671288,0.793357934,0.001677023,0.263656421,0.367023646,0.236059513,0.330384657,0.4046551,0.531309317,0.156490531,0.634402332,0.117408907,0.209867915
6051,1,0.391011236,0.435955056,0.322727273,0.154134059,0.001629814,0.400355872,0.731707317,0.425855513,0.275862069,0.13372093,0.490750816,0.454340474,0.246710526,0.268608414,0.202111614,0.363636364,0.018766756,0.290726817,0.272277228,0.001637833,0.001887836,0.763837638,0.001724821,0.355357232,0.374185244,0.301172505,0.436766983,0.4288251,0.408729467,0.205512465,0.654693878,0.184145227,0.230222238
